,filename,id_namespace,local_id,persistent_id,size_in_bytes,sha256,md5,uncompressed_size_in_bytes,cell_id,pert_id,pert_mfc_id,pert_iname,pert_dose,pert_dose_unit,pert_time,pert_time_unit,pert_type
10,L1000_LINCS_DCIC_LPROT003_NPC_6H_X1.A2_B22_pravastatin_0.75um.tsv.gz,lincs-dcic,https://lincs-dcic.s3.amazonaws.com/L1000-PCCSE-GSE101406/L1000_LINCS_DCIC_LPROT003_NPC_6H_X1.A2_B22_pravastatin_0.75um.tsv.gz,,271994,429e7dffbf35d5438835a32055bf0cec85605a57500d1232adf702c35f20d021,1af0270b496ef70e4b867d678dde8d32,756234,NPC,BRD-A11170096,BRD-A11170096,pravastatin,0.75,um,6,h,trt_cp
11,L1000_LINCS_DCIC_LPROT003_A375_6H_X1.A2_B22_alvocidib_0.40um.tsv.gz,lincs-dcic,https://lincs-dcic.s3.amazonaws.com/L1000-PCCSE-GSE101406/L1000_LINCS_DCIC_LPROT003_A375_6H_X1.A2_B22_alvocidib_0.40um.tsv.gz,,271059,ec01c7e3ccfb091fd1635c97648cf39142db62b00320f0a2b350922c57bb930c,565c281481eceacf3b0ec0724fad8d61,756719,A375,BRD-K87909389,BRD-K87909389,alvocidib,0.4,um,6,h,trt_cp
12,L1000_LINCS_DCIC_LPROT004_MCF7_6H_X1_B32_pyrazolanthrone_25.00um.tsv.gz,lincs-dcic,https://lincs-dcic.s3.amazonaws.com/L1000-PCCSE-GSE101406/L1000_LINCS_DCIC_LPROT004_MCF7_6H_X1_B32_pyrazolanthrone_25.00um.tsv.gz,,271986,b99737c7aef5b7bdb08602de3f3d5bfb1667ad5313ae6782642512a692605311,ac9fe6fc4bac6f02e9edf5598c4753c9,757666,MCF7,BRD-K01567962,BRD-K01567962,pyrazolanthrone,25.0,um,6,h,trt_cp
13,L1000_LINCS_DCIC_LPROT003_A549_6H_X1.A2_B22_vorinostat_1.00um.tsv.gz,lincs-dcic,https://lincs-dcic.s3.amazonaws.com/L1000-PCCSE-GSE101406/L1000_LINCS_DCIC_LPROT003_A549_6H_X1.A2_B22_vorinostat_1.00um.tsv.gz,,272418,764749498fe9a21826256aa4df80b83c738b3d8f463027b886ab2ea1f11b6ab1,c8bf766f730ba9ead0558d44ce68a5f9,756410,A549,BRD-K81418486,BRD-K81418486,vorinostat,1.0,um,6,h,trt_cp
14,L1000_LINCS_DCIC_LPROT003_A549_6H_X1.A2_B22_CYT387_1.00um.tsv.gz,lincs-dcic,https://lincs-dcic.s3.amazonaws.com/L1000-PCCSE-GSE101406/L1000_LINCS_DCIC_LPROT003_A549_6H_X1.A2_B22_CYT387_1.00um.tsv.gz,,272412,9c9c9f0b9a8e213d1162a8edc1ae8989ca3ab0dd1b07cbea53a549955a6f71ca,eed921dfe6d28a876e17e7378fcfbcff,756814,A549,BRD-K87737963,BRD-K87737963,CYT387,1.0,um,6,h,trt_cp
15,L1000_LINCS_DCIC_LPROT004_YAPC_6H_X1_B32_losmapimod_0.25um.tsv.gz,lincs-dcic,https://lincs-dcic.s3.amazonaws.com/L1000-PCCSE-GSE101406/L1000_LINCS_DCIC_LPROT004_YAPC_6H_X1_B32_losmapimod_0.25um.tsv.gz,,270990,8ab42616f29246ddaf92dd083f7c02dcf63ddc7e393b6c794d3d362c92dbe3b5,df6f0107def12fc24336e29d9da973bd,757335,YAPC,BRD-K56195681,BRD-K56195681,losmapimod,0.25,um,6,h,trt_cp
16,L1000_LINCS_DCIC_LPROT003_A549_6H_X1.A2_B22_exifone_10.00um.tsv.gz,lincs-dcic,https://lincs-dcic.s3.amazonaws.com/L1000-PCCSE-GSE101406/L1000_LINCS_DCIC_LPROT003_A549_6H_X1.A2_B22_exifone_10.00um.tsv.gz,,273192,4f3be1be04178757d19219f551ab8d2e6f68006c59bb740d0ca452e37e678808,fd7dc271b16deba9072d94017279ddd7,756872,A549,BRD-K65716359,BRD-K65716359,exifone,10.0,um,6,h,trt_cp
17,L1000_LINCS_DCIC_LPROT004_YAPC_6H_X1_B32_PD-0325901_4.00um.tsv.gz,lincs-dcic,https://lincs-dcic.s3.amazonaws.com/L1000-PCCSE-GSE101406/L1000_LINCS_DCIC_LPROT004_YAPC_6H_X1_B32_PD-0325901_4.00um.tsv.gz,,271909,8eb25872ad50b37e1d823798fe5da4a96eb60dfddbf51ee71f8d33209b509c97,bad1f141edbb9cc81e1325e01290276e,757509,YAPC,BRD-K49865102,BRD-K49865102,PD-0325901,4.0,um,6,h,trt_cp
18,L1000_LINCS_DCIC_LPROT001_PC3_6H_X1_B20_sirolimus_1.00um.tsv.gz,lincs-dcic,https://lincs-dcic.s3.amazonaws.com/L1000-PCCSE-GSE101406/L1000_LINCS_DCIC_LPROT001_PC3_6H_X1_B20_sirolimus_1.00um.tsv.gz,,271251,1af5c75ac498cb1b29a7c7f6748f8c86338056ef1bb3b4198ed1058f263ea0a6,d5e0b351fa6316ef4629bae7987ef82a,755848,PC3,BRD-A79768653,BRD-A79768653,sirolimus,1.0,um,6,h,trt_cp
19,L1000_LINCS_DCIC_LPROT002_A549_6H_X1_B22_geldanamycin_2.00um.tsv.gz,lincs-dcic,https://lincs-dcic.s3.amazonaws.com/L1000-PCCSE-GSE101406/L1000_LINCS_DCIC_LPROT002_A549_6H_X1_B22_geldanamycin_2.00um.tsv.gz,,272331,74b3abad84d19151c316ee0cf6e9abbe4201fb928f4d557a85de8f5d03f80e96,b995505a38a0f9214515de1cc06e589b,756896,A549,BRD-K11528507,BRD-K11528507,geldanamycin,2.0,um,6,h,trt_cp
20,L1000_LINCS_DCIC_LPROT004_YAPC_6H_X1_B32_tofacitinib_0.40um.tsv.gz,lincs-dcic,https://lincs-dcic.s3.amazonaws.com/L1000-PCCSE-GSE101406/L1000_LINCS_DCIC_LPROT004_YAPC_6H_X1_B32_tofacitinib_0.40um.tsv.gz,,271446,6608e0224af9ea8cdca8573d37117aa924818e03f1d2b7c53fa031e79e21bdbc,3020e47401839c91741b27e100f592a1,757457,YAPC,BRD-K31283835,BRD-K31283835,tofacitinib,0.4,um,6,h,trt_cp
21,L1000_LINCS_DCIC_LPROT003_A549_6H_X1.A2_B22_tacrolimus_10.00um.tsv.gz,lincs-dcic,https://lincs-dcic.s3.amazonaws.com/L1000-PCCSE-GSE101406/L1000_LINCS_DCIC_LPROT003_A549_6H_X1.A2_B22_tacrolimus_10.00um.tsv.gz,,272523,06fd9f598f8c90cbb3e1c1aab7bbc7a5a5de15bd30b68b3c3ac717fe5559ad42,bf12121e19db9f0b27391388a51173a1,756959,A549,BRD-K69608737,BRD-K69608737,tacrolimus,10.0,um,6,h,trt_cp
22,L1000_LINCS_DCIC_LPROT003_NPC_6H_X1.A2_B22_TG-101348_8.00um.tsv.gz,lincs-dcic,https://lincs-dcic.s3.amazonaws.com/L1000-PCCSE-GSE101406/L1000_LINCS_DCIC_LPROT003_NPC_6H_X1.A2_B22_TG-101348_8.00um.tsv.gz,,271942,cfd8d02264b4bf5ce9741254fda8b3ab080c080a9be2cbaa398f42f34daf5440,5a66fb61fecd6f10d5dcf63b7c4053ca,756657,NPC,BRD-K12502280,BRD-K12502280,TG-101348,8.0,um,6,h,trt_cp
23,L1000_LINCS_DCIC_LPROT001_MCF7_6H_X1_B20_resveratrol_10.00um.tsv.gz,lincs-dcic,https://lincs-dcic.s3.amazonaws.com/L1000-PCCSE-GSE101406/L1000_LINCS_DCIC_LPROT001_MCF7_6H_X1_B20_resveratrol_10.00um.tsv.gz,,271701,d2cb6caa0a7fe493223f8fe4b01d5552871c941c9db8bd67470efd0bbce45709,67da99f3bc20c3a9f823a87af5c9f48d,755329,MCF7,BRD-K80738081,BRD-K80738081,resveratrol,10.0,um,6,h,trt_cp
24,L1000_LINCS_DCIC_LPROT004_YAPC_6H_X1_B32_vorinostat_1.00um.tsv.gz,lincs-dcic,https://lincs-dcic.s3.amazonaws.com/L1000-PCCSE-GSE101406/L1000_LINCS_DCIC_LPROT004_YAPC_6H_X1_B32_vorinostat_1.00um.tsv.gz,,683001,98e83c366b7db0f1c02c3020fa9322d6eb797ba9535bdc39170104da42cbc322,56ea5895498345e8d84e1c681c985512,2093096,YAPC,BRD-K81418486,BRD-K81418486,vorinostat,1.0,um,6,h,trt_cp
25,L1000_LINCS_DCIC_LPROT003_A549_6H_X1.A2_B22_staurosporine_1.00um.tsv.gz,lincs-dcic,https://lincs-dcic.s3.amazonaws.com/L1000-PCCSE-GSE101406/L1000_LINCS_DCIC_LPROT003_A549_6H_X1.A2_B22_staurosporine_1.00um.tsv.gz,,271264,fc182765ad936624225eba8ab8050a43d216d37eb90f09c2925d7bd406ece3a3,97f89f52db7f85155be7cd93d0b172ff,756932,A549,BRD-K17953061,BRD-K17953061,staurosporine,1.0,um,6,h,trt_cp
26,L1000_LINCS_DCIC_LPROT001_PC3_6H_X1_B20_resveratrol_10.00um.tsv.gz,lincs-dcic,https://lincs-dcic.s3.amazonaws.com/L1000-PCCSE-GSE101406/L1000_LINCS_DCIC_LPROT001_PC3_6H_X1_B20_resveratrol_10.00um.tsv.gz,,271703,61e648a9aefd356c4c7e0e0c858196e0768433db45301f9124257221786d4fec,1e51ce5b9e512c0aca422f202bc52e54,755672,PC3,BRD-K80738081,BRD-K80738081,resveratrol,10.0,um,6,h,trt_cp
27,L1000_LINCS_DCIC_LPROT004_YAPC_6H_X1_B32_semagacestat_10.00um.tsv.gz,lincs-dcic,https://lincs-dcic.s3.amazonaws.com/L1000-PCCSE-GSE101406/L1000_LINCS_DCIC_LPROT004_YAPC_6H_X1_B32_semagacestat_10.00um.tsv.gz,,271425,60d6742a9d99104ec64acb7b90d232b8bbf8fdb244daed0c1de2dd899941a6e1,4af5812cc2aca22d619ea5acc3516881,757147,YAPC,BRD-K65592642,BRD-K65592642,semagacestat,10.0,um,6,h,trt_cp
28,L1000_LINCS_DCIC_LPROT003_PC3_6H_X1.A2_B22_dexamethasone_10.00um.tsv.gz,lincs-dcic,https://lincs-dcic.s3.amazonaws.com/L1000-PCCSE-GSE101406/L1000_LINCS_DCIC_LPROT003_PC3_6H_X1.A2_B22_dexamethasone_10.00um.tsv.gz,,274759,4d83baf1c0ff2f9dad3537efb27fdbffe7f4df6ca6b557b6144cd1e205d49025,aa608011510c7ead794fffc47afeebe1,758074,PC3,BRD-A35108200,BRD-A35108200,dexamethasone,10.0,um,6,h,trt_cp
29,L1000_LINCS_DCIC_LPROT004_YAPC_6H_X1_B32_KN-62_10.00um.tsv.gz,lincs-dcic,https://lincs-dcic.s3.amazonaws.com/L1000-PCCSE-GSE101406/L1000_LINCS_DCIC_LPROT004_YAPC_6H_X1_B32_KN-62_10.00um.tsv.gz,,271069,f987e2e3eb0f62e76e5ea54231180d539d31e595e97d74a77e44a0f1f54a3bd7,4a311d94a09560968e4c78754acb651e,757461,YAPC,BRD-A81177136,BRD-A81177136,KN-62,10.0,um,6,h,trt_cp
30,L1000_LINCS_DCIC_LPROT004_YAPC_6H_X1_B32_trichostatin-a_1.00um.tsv.gz,lincs-dcic,https://lincs-dcic.s3.amazonaws.com/L1000-PCCSE-GSE101406/L1000_LINCS_DCIC_LPROT004_YAPC_6H_X1_B32_trichostatin-a_1.00um.tsv.gz,,271036,92fc4021005ca1896ddb5f7772b3f42b1e7b4beaa1015b1d70167091865b8c9c,2a9435fcf56656a299954e2c64c25187,757006,YAPC,BRD-A19037878,BRD-A19037878,trichostatin-a,1.0,um,6,h,trt_cp
31,L1000_LINCS_DCIC_LPROT004_YAPC_6H_X1_B32_ruxolitinib_0.50um.tsv.gz,lincs-dcic,https://lincs-dcic.s3.amazonaws.com/L1000-PCCSE-GSE101406/L1000_LINCS_DCIC_LPROT004_YAPC_6H_X1_B32_ruxolitinib_0.50um.tsv.gz,,271603,c3e9d17c7253e2f5c1879af680daf18d227cc66179c76d0869f3a8107a29554c,144ae6758c1993e39c5221bb0abd356e,757312,YAPC,BRD-K53972329,BRD-K53972329,ruxolitinib,0.5,um,6,h,trt_cp
32,L1000_LINCS_DCIC_LPROT001_A375_6H_X1_B20_geldanamycin_2.00um.tsv.gz,lincs-dcic,https://lincs-dcic.s3.amazonaws.com/L1000-PCCSE-GSE101406/L1000_LINCS_DCIC_LPROT001_A375_6H_X1_B20_geldanamycin_2.00um.tsv.gz,,272030,70706bb911969b55cc04969845e196b6a6137e5324f0470116a4103ae7ffa0f7,ca5d6e6e5b763b73f768c55e555b1fd2,755432,A375,BRD-K11528507,BRD-K11528507,geldanamycin,2.0,um,6,h,trt_cp
33,L1000_LINCS_DCIC_LPROT001_MCF7_6H_X1_B20_I-BET-762_1.00um.tsv.gz,lincs-dcic,https://lincs-dcic.s3.amazonaws.com/L1000-PCCSE-GSE101406/L1000_LINCS_DCIC_LPROT001_MCF7_6H_X1_B20_I-BET-762_1.00um.tsv.gz,,271398,aece2c7465069b7cd2d3c35d06ee11c24b3dbda30d65d1b3d00b62c486ff7062,73b2089ffefc4fce43a0c9e65c8d5ffe,755620,MCF7,BRD-K08109215,BRD-K08109215,I-BET-762,1.0,um,6,h,trt_cp
34,L1000_LINCS_DCIC_LPROT003_A375_6H_X1.A2_B22_BMS-345541_1.00um.tsv.gz,lincs-dcic,https://lincs-dcic.s3.amazonaws.com/L1000-PCCSE-GSE101406/L1000_LINCS_DCIC_LPROT003_A375_6H_X1.A2_B22_BMS-345541_1.00um.tsv.gz,,274443,d4fbc5a3bf4ccb04ce7efb25fd25d3c5a9050cc512fdaaf06613ee23c458ea67,b9aeb90ff0bed2b97b35d4af1df85462,757886,A375,BRD-K13566078,BRD-K13566078,BMS-345541,1.0,um,6,h,trt_cp
35,L1000_LINCS_DCIC_LPROT001_MCF7_6H_X1_B20_1271738-62-5_12.00um.tsv.gz,lincs-dcic,https://lincs-dcic.s3.amazonaws.com/L1000-PCCSE-GSE101406/L1000_LINCS_DCIC_LPROT001_MCF7_6H_X1_B20_1271738-62-5_12.00um.tsv.gz,,271563,ac5ef9554b29446760fc9074d98cab431921579a423039fc334089cad442c0a6,b0d782abae048dfa32c20740fef7d55e,755588,MCF7,BRD-K90860366,BRD-K90860366,1271738-62-5,12.0,um,6,h,trt_cp
36,L1000_LINCS_DCIC_LPROT002_NPC.TAK_6H_X1_B22_curcumin_1.00um.tsv.gz,lincs-dcic,https://lincs-dcic.s3.amazonaws.com/L1000-PCCSE-GSE101406/L1000_LINCS_DCIC_LPROT002_NPC.TAK_6H_X1_B22_curcumin_1.00um.tsv.gz,,271256,365378680eabd03546bfe63d3e962883e85816d067174a1866b0d013621a8387,5f3e7bfde92835645c0c1fa2ba665e09,756224,NPC.TAK,BRD-K74148702,BRD-K74148702,curcumin,1.0,um,6,h,trt_cp
37,L1000_LINCS_DCIC_LPROT004_YAPC_6H_X1_B32_calpain_inhibitor_ii_5.00um.tsv.gz,lincs-dcic,https://lincs-dcic.s3.amazonaws.com/L1000-PCCSE-GSE101406/L1000_LINCS_DCIC_LPROT004_YAPC_6H_X1_B32_calpain_inhibitor_ii_5.00um.tsv.gz,,271327,48a223598df43f0b983de03d41f6533873ab9825e5376464f4cb5493abbe535e,6691affa1713f6dea0c4c5a3bb6f7821,757215,YAPC,BRD-A72575012,BRD-A72575012,calpain inhibitor ii,5.0,um,6,h,trt_cp
38,L1000_LINCS_DCIC_LPROT002_MCF7_6H_X1_B22_exifone_10.00um.tsv.gz,lincs-dcic,https://lincs-dcic.s3.amazonaws.com/L1000-PCCSE-GSE101406/L1000_LINCS_DCIC_LPROT002_MCF7_6H_X1_B22_exifone_10.00um.tsv.gz,,272761,d72638c7b807e8425e3b7cdc295afc3684747066652e7f95a140507b240efccc,e4ae49a69acf55d5a3bebdfb6e98fc2a,757364,MCF7,BRD-K65716359,BRD-K65716359,exifone,10.0,um,6,h,trt_cp
39,L1000_LINCS_DCIC_LPROT001_MCF7_6H_X1_B20_UNC-1215_1.00um.tsv.gz,lincs-dcic,https://lincs-dcic.s3.amazonaws.com/L1000-PCCSE-GSE101406/L1000_LINCS_DCIC_LPROT001_MCF7_6H_X1_B20_UNC-1215_1.00um.tsv.gz,,271306,c494b00602e4d1e40ab80b3c2c6aa562cd91dd8a36739aa39c9a708eb6d23092,58e1881e029b96fc839100d8d07574ee,755457,MCF7,BRD-K83189926,BRD-K83189926,UNC-1215,1.0,um,6,h,trt_cp
40,L1000_LINCS_DCIC_LPROT005_PC3_6H_X1_B29_tofacitinib_0.40um.tsv.gz,lincs-dcic,https://lincs-dcic.s3.amazonaws.com/L1000-PCCSE-GSE101406/L1000_LINCS_DCIC_LPROT005_PC3_6H_X1_B29_tofacitinib_0.40um.tsv.gz,,270389,d9ab8b1b4226d6001e268c7de141d948ae77a2327ffd77a2447d95a025d2d3b5,170fd79fdac934268e5250d01ed98817,756035,PC3,BRD-K31283835,BRD-K31283835,tofacitinib,0.4,um,6,h,trt_cp
41,L1000_LINCS_DCIC_LPROT001_A375_6H_X1_B20_I-BET-762_1.00um.tsv.gz,lincs-dcic,https://lincs-dcic.s3.amazonaws.com/L1000-PCCSE-GSE101406/L1000_LINCS_DCIC_LPROT001_A375_6H_X1_B20_I-BET-762_1.00um.tsv.gz,,271808,90c0ac21aa6aa26bd4460b0192af1340237eb648b49611509d2a3eb26a93cd57,eee23ce41157b615b3adeb75c0b8a426,755509,A375,BRD-K08109215,BRD-K08109215,I-BET-762,1.0,um,6,h,trt_cp
42,L1000_LINCS_DCIC_LPROT004_MCF7_6H_X1_B32_TG-101348_8.00um.tsv.gz,lincs-dcic,https://lincs-dcic.s3.amazonaws.com/L1000-PCCSE-GSE101406/L1000_LINCS_DCIC_LPROT004_MCF7_6H_X1_B32_TG-101348_8.00um.tsv.gz,,271923,3352012aed5c3bc40f890fec2157ba19fc8d915be3a12b6ad3e58c49ff2eb831,d7a6f53c82b7e2b9d7e4a150d2f57564,757248,MCF7,BRD-K12502280,BRD-K12502280,TG-101348,8.0,um,6,h,trt_cp
43,L1000_LINCS_DCIC_LPROT002_A375_6H_X1_B22_tacrolimus_10.00um.tsv.gz,lincs-dcic,https://lincs-dcic.s3.amazonaws.com/L1000-PCCSE-GSE101406/L1000_LINCS_DCIC_LPROT002_A375_6H_X1_B22_tacrolimus_10.00um.tsv.gz,,273444,8323491dbe466604f0da132155698853e837a57f44a939fa51f8dfe11decc841,388af9c04aa54915f4a36c21407090ec,757157,A375,BRD-K69608737,BRD-K69608737,tacrolimus,10.0,um,6,h,trt_cp
44,L1000_LINCS_DCIC_LPROT004_MCF7_6H_X1_B32_vorinostat_1.00um.tsv.gz,lincs-dcic,https://lincs-dcic.s3.amazonaws.com/L1000-PCCSE-GSE101406/L1000_LINCS_DCIC_LPROT004_MCF7_6H_X1_B32_vorinostat_1.00um.tsv.gz,,271448,e886ef23483731c3da7ee99b3ed6d66126d93799737c27e8cbe7157bbe18a913,ee9823c0c62047cdeab4b15398d9cdaa,757425,MCF7,BRD-K81418486,BRD-K81418486,vorinostat,1.0,um,6,h,trt_cp
45,L1000_LINCS_DCIC_LPROT002_NPC.TAK_6H_X1_B22_exifone_10.00um.tsv.gz,lincs-dcic,https://lincs-dcic.s3.amazonaws.com/L1000-PCCSE-GSE101406/L1000_LINCS_DCIC_LPROT002_NPC.TAK_6H_X1_B22_exifone_10.00um.tsv.gz,,271794,28ca75cf49c8e6c35cd190bf68a5c26a2cd82d837bf30bc663366fa3e5322066,b5dfaedd9f2025cb71acabee3ed84a64,756282,NPC.TAK,BRD-K65716359,BRD-K65716359,exifone,10.0,um,6,h,trt_cp
46,L1000_LINCS_DCIC_LPROT004_YAPC_6H_X1_B32_olaparib_1.50um.tsv.gz,lincs-dcic,https://lincs-dcic.s3.amazonaws.com/L1000-PCCSE-GSE101406/L1000_LINCS_DCIC_LPROT004_YAPC_6H_X1_B32_olaparib_1.50um.tsv.gz,,271498,461849af26a6fe5e89d16f18b23da5741c3d674d32df96890008ea3603b26aea,10f4db1d5f25926e970d9f3bccc3147f,757251,YAPC,BRD-K02113016,BRD-K02113016,olaparib,1.5,um,6,h,trt_cp
47,L1000_LINCS_DCIC_LPROT001_NPC.TAK_6H_X1_B20_epz004777_3.00um.tsv.gz,lincs-dcic,https://lincs-dcic.s3.amazonaws.com/L1000-PCCSE-GSE101406/L1000_LINCS_DCIC_LPROT001_NPC.TAK_6H_X1_B20_epz004777_3.00um.tsv.gz,,271117,a7fbffaa6831ee65854d21a94c9b0382572fb633a32369eee4105b6e13e1ab5a,2cc8013168fb4332490063baeb955071,755614,NPC.TAK,BRD-A65730376,BRD-A65730376,epz004777,3.0,um,6,h,trt_cp
48,L1000_LINCS_DCIC_LPROT002_A549_6H_X1_B22_tacedinaline_2.00um.tsv.gz,lincs-dcic,https://lincs-dcic.s3.amazonaws.com/L1000-PCCSE-GSE101406/L1000_LINCS_DCIC_LPROT002_A549_6H_X1_B22_tacedinaline_2.00um.tsv.gz,,272152,7740cd5e116b9a252f1bd28c1dfacc88bc0af236147d3e5264097be5725b09ed,e593b7751cc26d16de95b7261dc6ca91,756926,A549,BRD-K52313696,BRD-K52313696,tacedinaline,2.0,um,6,h,trt_cp
49,L1000_LINCS_DCIC_LPROT003_NPC_6H_X1.A2_B22_staurosporine_1.00um.tsv.gz,lincs-dcic,https://lincs-dcic.s3.amazonaws.com/L1000-PCCSE-GSE101406/L1000_LINCS_DCIC_LPROT003_NPC_6H_X1.A2_B22_staurosporine_1.00um.tsv.gz,,271360,49efade87feaec65fbd0182c9031488eea0cb6ec8f329a812ea07634ec9f292f,78602d1054d315408e422527ea565103,756158,NPC,BRD-K17953061,BRD-K17953061,staurosporine,1.0,um,6,h,trt_cp
50,L1000_LINCS_DCIC_LPROT004_YAPC_6H_X1_B32_epz004777_3.00um.tsv.gz,lincs-dcic,https://lincs-dcic.s3.amazonaws.com/L1000-PCCSE-GSE101406/L1000_LINCS_DCIC_LPROT004_YAPC_6H_X1_B32_epz004777_3.00um.tsv.gz,,271765,ae28f0352e744655b33f572ac2ed40ef830b8f89924e3e530c61222a88c20c4d,eb6e2349b29668c6b8b7ce94a0cc11e3,757168,YAPC,BRD-A65730376,BRD-A65730376,epz004777,3.0,um,6,h,trt_cp
